test_01_top_menu,,,
,,,
test_02_left_menu,,,
,,,
test_03_modules_menu,,,
HUD,"<a href=""/pt-br/docs/module-22/"" class="""">HUD</a>",False,https://ffcraftland.garena.com/pt-br/docs/api/
Airdrop,"<a href=""/pt-br/docs/module-41/"" class="""">Airdrop</a>",False,https://ffcraftland.garena.com/pt-br/docs/api/
Global,"<a href=""/pt-br/docs/module-39/"" class="""">Global</a>",False,https://ffcraftland.garena.com/pt-br/docs/api/
MiniMapa,"<a href=""/pt-br/docs/module-34/"" class="""">MiniMapa</a>",False,https://ffcraftland.garena.com/pt-br/docs/api/
,,,
test_04_enum,,,
API,"<h1 class=""gfr-title gfr-title-1 gfr-title-left app-docs-title"" data-v-59c410db="""" data-v-557b08fd=""""><!--[-->API <!----><!--]--></h1>",False,https://ffcraftland.garena.com/pt-br/docs/module-4/
,,,
test_05_references_menu,,,
API,"<a data-v-3385579a="""" href=""/pt-br/docs/api/"" class=""breadcrumb-link"">API</a>",False,https://ffcraftland.garena.com/pt-br/docs/api-1-24/
API,"<span data-v-1b95234f="""" class=""app-markdown-line-title app-markdown-line-title--desktop"">API</span>",False,https://ffcraftland.garena.com/pt-br/docs/api-1-24/
API,"<a data-v-3385579a="""" href=""/pt-br/docs/api/"" class=""breadcrumb-link"">API</a>",False,https://ffcraftland.garena.com/pt-br/docs/api-1-25/
API,"<a data-v-3385579a="""" href=""/pt-br/docs/api/"" class=""breadcrumb-link"">API</a>",False,https://ffcraftland.garena.com/pt-br/docs/api-1-26/
Object,"<td><a href=""/pt-br/docs/type-0"">Object</a></td>",False,https://ffcraftland.garena.com/pt-br/docs/api-1-26/
API,"<a data-v-3385579a="""" href=""/pt-br/docs/api/"" class=""breadcrumb-link"">API</a>",False,https://ffcraftland.garena.com/pt-br/docs/api-1-30/
Int,"<td><a href=""/pt-br/docs/type-3"">Int</a></td>",False,https://ffcraftland.garena.com/pt-br/docs/api-1-30/
API,"<a data-v-3385579a="""" href=""/pt-br/docs/api/"" class=""breadcrumb-link"">API</a>",False,https://ffcraftland.garena.com/pt-br/docs/api-1-31/
API,"<a data-v-3385579a="""" href=""/pt-br/docs/api/"" class=""breadcrumb-link"">API</a>",False,https://ffcraftland.garena.com/pt-br/docs/api-1-36/
Player,"<td><a href=""/pt-br/docs/type-14"">Player</a></td>",False,https://ffcraftland.garena.com/pt-br/docs/api-1-36/
EffectType,"<td><a href=""/pt-br/docs/enum#tipo-de-efeito-visual"">EffectType</a></td>",False,https://ffcraftland.garena.com/pt-br/docs/api-1-36/
