test_01_top_menu,,,
,,,
test_02_left_menu,,,
,,,
test_03_modules_menu,,,
AI,"<a href=""/vn/docs/module-9/"" class="""">AI</a>",False,https://ffcraftland.garena.com/vn/docs/api/
,,,
test_04_enum,,,
API,"<h1 class=""gfr-title gfr-title-1 gfr-title-left app-docs-title"" data-v-59c410db="""" data-v-557b08fd=""""><!--[-->API <!----><!--]--></h1>",False,https://ffcraftland.garena.com/vn/docs/module-4/
,,,
test_05_references_menu,,,
API,"<a data-v-3385579a="""" href=""/vn/docs/api/"" class=""breadcrumb-link"">API</a>",False,https://ffcraftland.garena.com/vn/docs/api-1-24/
API,"<span data-v-1b95234f="""" class=""app-markdown-line-title app-markdown-line-title--desktop"">API</span>",False,https://ffcraftland.garena.com/vn/docs/api-1-24/
API,"<a data-v-3385579a="""" href=""/vn/docs/api/"" class=""breadcrumb-link"">API</a>",False,https://ffcraftland.garena.com/vn/docs/api-1-25/
API,"<a data-v-3385579a="""" href=""/vn/docs/api/"" class=""breadcrumb-link"">API</a>",False,https://ffcraftland.garena.com/vn/docs/api-1-26/
Object,"<td><a href=""/vn/docs/type-0"">Object</a></td>",False,https://ffcraftland.garena.com/vn/docs/api-1-26/
API,"<a data-v-3385579a="""" href=""/vn/docs/api/"" class=""breadcrumb-link"">API</a>",False,https://ffcraftland.garena.com/vn/docs/api-1-30/
Int,"<td><a href=""/vn/docs/type-3"">Int</a></td>",False,https://ffcraftland.garena.com/vn/docs/api-1-30/
API,"<a data-v-3385579a="""" href=""/vn/docs/api/"" class=""breadcrumb-link"">API</a>",False,https://ffcraftland.garena.com/vn/docs/api-1-31/
API,"<a data-v-3385579a="""" href=""/vn/docs/api/"" class=""breadcrumb-link"">API</a>",False,https://ffcraftland.garena.com/vn/docs/api-1-36/
Player,"<td><a href=""/vn/docs/type-14"">Player</a></td>",False,https://ffcraftland.garena.com/vn/docs/api-1-36/
EffectType,"<td><a href=""/vn/docs/enum#lo%E1%BA%A1i-hi%E1%BB%87u-%E1%BB%A9ng-vfx"">EffectType</a></td>",False,https://ffcraftland.garena.com/vn/docs/api-1-36/
/vn/docs/api-1-36/,颜色错了,False,现在的颜色是:#48484d
API,"<a data-v-3385579a="""" href=""/vn/docs/api/"" class=""breadcrumb-link"">API</a>",False,https://ffcraftland.garena.com/vn/docs/api-1-37/
Player,"<td><a href=""/vn/docs/type-14"">Player</a></td>",False,https://ffcraftland.garena.com/vn/docs/api-1-37/
EffectType,"<td><a href=""/vn/docs/enum#lo%E1%BA%A1i-hi%E1%BB%87u-%E1%BB%A9ng-vfx"">EffectType</a></td>",False,https://ffcraftland.garena.com/vn/docs/api-1-37/
/vn/docs/api-1-37/,颜色错了,False,现在的颜色是:#48484d
API,"<a data-v-3385579a="""" href=""/vn/docs/api/"" class=""breadcrumb-link"">API</a>",False,https://ffcraftland.garena.com/vn/docs/api-1-38/
/vn/docs/api-1-38/,颜色错了,False,现在的颜色是:#48484d
API,"<a data-v-3385579a="""" href=""/vn/docs/api/"" class=""breadcrumb-link"">API</a>",False,https://ffcraftland.garena.com/vn/docs/api-1-39/
Player,"<td><a href=""/vn/docs/type-14"">Player</a></td>",False,https://ffcraftland.garena.com/vn/docs/api-1-39/
Object,"<td><a href=""/vn/docs/type-0"">Object</a></td>",False,https://ffcraftland.garena.com/vn/docs/api-1-39/
/vn/docs/api-1-39/,颜色错了,False,现在的颜色是:#48484d
API,"<a data-v-3385579a="""" href=""/vn/docs/api/"" class=""breadcrumb-link"">API</a>",False,https://ffcraftland.garena.com/vn/docs/api-1-40/
Player,"<td><a href=""/vn/docs/type-14"">Player</a></td>",False,https://ffcraftland.garena.com/vn/docs/api-1-40/
Object,"<td><a href=""/vn/docs/type-0"">Object</a></td>",False,https://ffcraftland.garena.com/vn/docs/api-1-40/
/vn/docs/api-1-40/,颜色错了,False,现在的颜色是:#48484d
API,"<a data-v-3385579a="""" href=""/vn/docs/api/"" class=""breadcrumb-link"">API</a>",False,https://ffcraftland.garena.com/vn/docs/api-1-41/
/vn/docs/api-1-41/,颜色错了,False,现在的颜色是:#48484d
API,"<a data-v-3385579a="""" href=""/vn/docs/api/"" class=""breadcrumb-link"">API</a>",False,https://ffcraftland.garena.com/vn/docs/api-1-42/
Player,"<td><a href=""/vn/docs/type-14"">Player</a></td>",False,https://ffcraftland.garena.com/vn/docs/api-1-42/
IconType,"<td><a href=""/vn/docs/enum#lo%E1%BA%A1i-bi%E1%BB%83u-t%C6%B0%E1%BB%A3ng"">IconType</a></td>",False,https://ffcraftland.garena.com/vn/docs/api-1-42/
/vn/docs/api-1-42/,颜色错了,False,现在的颜色是:#48484d
API,"<a data-v-3385579a="""" href=""/vn/docs/api/"" class=""breadcrumb-link"">API</a>",False,https://ffcraftland.garena.com/vn/docs/api-1-43/
Player,"<td><a href=""/vn/docs/type-14"">Player</a></td>",False,https://ffcraftland.garena.com/vn/docs/api-1-43/
IconType,"<td><a href=""/vn/docs/enum#lo%E1%BA%A1i-bi%E1%BB%83u-t%C6%B0%E1%BB%A3ng"">IconType</a></td>",False,https://ffcraftland.garena.com/vn/docs/api-1-43/
/vn/docs/api-1-43/,颜色错了,False,现在的颜色是:#48484d
API,"<a data-v-3385579a="""" href=""/vn/docs/api/"" class=""breadcrumb-link"">API</a>",False,https://ffcraftland.garena.com/vn/docs/api-1-44/
/vn/docs/api-1-44/,颜色错了,False,现在的颜色是:#48484d
API,"<a data-v-3385579a="""" href=""/vn/docs/api/"" class=""breadcrumb-link"">API</a>",False,https://ffcraftland.garena.com/vn/docs/api-1-45/
Bool,"<td><a href=""/vn/docs/type-2"">Bool</a></td>",False,https://ffcraftland.garena.com/vn/docs/api-1-45/
API,"<a data-v-3385579a="""" href=""/vn/docs/api/"" class=""breadcrumb-link"">API</a>",False,https://ffcraftland.garena.com/vn/docs/api-1-51/
Object,"<td><a href=""/vn/docs/type-0"">Object</a></td>",False,https://ffcraftland.garena.com/vn/docs/api-1-51/
API,"<a data-v-3385579a="""" href=""/vn/docs/api/"" class=""breadcrumb-link"">API</a>",False,https://ffcraftland.garena.com/vn/docs/api-1-53/
Player,"<td><a href=""/vn/docs/type-14"">Player</a></td>",False,https://ffcraftland.garena.com/vn/docs/api-1-53/
AudioType,"<td><a href=""/vn/docs/enum#lo%E1%BA%A1i-%C3%A2m-thanh"">AudioType</a></td>",False,https://ffcraftland.garena.com/vn/docs/api-1-53/
/vn/docs/api-1-53/,颜色错了,False,现在的颜色是:#48484d
API,"<a data-v-3385579a="""" href=""/vn/docs/api/"" class=""breadcrumb-link"">API</a>",False,https://ffcraftland.garena.com/vn/docs/api-1-63/
Entity,"<td><a href=""/vn/docs/type-10"">Entity</a></td>",False,https://ffcraftland.garena.com/vn/docs/api-1-63/
API,"<a data-v-3385579a="""" href=""/vn/docs/api/"" class=""breadcrumb-link"">API</a>",False,https://ffcraftland.garena.com/vn/docs/api-1-64/
ListT_Player,"<td><a href=""/vn/docs/type-43"">ListT_Player</a></td>",False,https://ffcraftland.garena.com/vn/docs/api-1-64/
API,"<a data-v-3385579a="""" href=""/vn/docs/api/"" class=""breadcrumb-link"">API</a>",False,https://ffcraftland.garena.com/vn/docs/api-1-65/
ListT_Team,"<td><a href=""/vn/docs/type-44"">ListT_Team</a></td>",False,https://ffcraftland.garena.com/vn/docs/api-1-65/
API,"<a data-v-3385579a="""" href=""/vn/docs/api/"" class=""breadcrumb-link"">API</a>",False,https://ffcraftland.garena.com/vn/docs/api-1-70/
Object,"<td><a href=""/vn/docs/type-0"">Object</a></td>",False,https://ffcraftland.garena.com/vn/docs/api-1-70/
Bool,"<td><a href=""/vn/docs/type-2"">Bool</a></td>",False,https://ffcraftland.garena.com/vn/docs/api-1-70/
API,"<a data-v-3385579a="""" href=""/vn/docs/api/"" class=""breadcrumb-link"">API</a>",False,https://ffcraftland.garena.com/vn/docs/api-1-72/
Bool,"<td><a href=""/vn/docs/type-2"">Bool</a></td>",False,https://ffcraftland.garena.com/vn/docs/api-1-72/
Bool,"<td><a href=""/vn/docs/type-2"">Bool</a></td>",False,https://ffcraftland.garena.com/vn/docs/api-1-72/
API,"<a data-v-3385579a="""" href=""/vn/docs/api/"" class=""breadcrumb-link"">API</a>",False,https://ffcraftland.garena.com/vn/docs/api-1-95/
Global,"<td><a href=""/vn/docs/type-11"">Global</a></td>",False,https://ffcraftland.garena.com/vn/docs/api-1-95/
API,"<a data-v-3385579a="""" href=""/vn/docs/api/"" class=""breadcrumb-link"">API</a>",False,https://ffcraftland.garena.com/vn/docs/api-1-117/
Player,"<td><a href=""/vn/docs/type-14"">Player</a></td>",False,https://ffcraftland.garena.com/vn/docs/api-1-117/
/vn/docs/api-1-117/,颜色错了,False,现在的颜色是:#48484d
API,"<a data-v-3385579a="""" href=""/vn/docs/api/"" class=""breadcrumb-link"">API</a>",False,https://ffcraftland.garena.com/vn/docs/api-1-120/
Player,"<td><a href=""/vn/docs/type-14"">Player</a></td>",False,https://ffcraftland.garena.com/vn/docs/api-1-120/
/vn/docs/api-1-120/,颜色错了,False,现在的颜色是:#48484d
API,"<a data-v-3385579a="""" href=""/vn/docs/api/"" class=""breadcrumb-link"">API</a>",False,https://ffcraftland.garena.com/vn/docs/api-1-121/
entity,"<td><a href=""/vn/docs/type-240"">entity</a></td>",False,https://ffcraftland.garena.com/vn/docs/api-1-121/
Player,"<td><a href=""/vn/docs/type-14"">Player</a></td>",False,https://ffcraftland.garena.com/vn/docs/api-1-121/
API,"<a data-v-3385579a="""" href=""/vn/docs/api/"" class=""breadcrumb-link"">API</a>",False,https://ffcraftland.garena.com/vn/docs/api-1-136/
Object,"<td><a href=""/vn/docs/type-0"">Object</a></td>",False,https://ffcraftland.garena.com/vn/docs/api-1-136/
API,"<a data-v-3385579a="""" href=""/vn/docs/api/"" class=""breadcrumb-link"">API</a>",False,https://ffcraftland.garena.com/vn/docs/api-1-160/
Player,"<td><a href=""/vn/docs/type-14"">Player</a></td>",False,https://ffcraftland.garena.com/vn/docs/api-1-160/
Object,"<td><a href=""/vn/docs/type-0"">Object</a></td>",False,https://ffcraftland.garena.com/vn/docs/api-1-160/
Color,"<td><a href=""/vn/docs/type-87"">Color</a></td>",False,https://ffcraftland.garena.com/vn/docs/api-1-160/
Int,"<td><a href=""/vn/docs/type-3"">Int</a></td>",False,https://ffcraftland.garena.com/vn/docs/api-1-160/
API,"<a data-v-3385579a="""" href=""/vn/docs/api/"" class=""breadcrumb-link"">API</a>",False,https://ffcraftland.garena.com/vn/docs/api-1-176/
SpawnableEntity,"<td><a href=""/vn/docs/type-77"">SpawnableEntity</a></td>",False,https://ffcraftland.garena.com/vn/docs/api-1-176/
API,"<a data-v-3385579a="""" href=""/vn/docs/api/"" class=""breadcrumb-link"">API</a>",False,https://ffcraftland.garena.com/vn/docs/api-1-195/
Object,"<td><a href=""/vn/docs/type-0"">Object</a></td>",False,https://ffcraftland.garena.com/vn/docs/api-1-195/
Type,"<td><a href=""/vn/docs/type-1027"">Type</a></td>",False,https://ffcraftland.garena.com/vn/docs/api-1-195/
API,"<a data-v-3385579a="""" href=""/vn/docs/api/"" class=""breadcrumb-link"">API</a>",False,https://ffcraftland.garena.com/vn/docs/api-1-196/
Object,"<td><a href=""/vn/docs/type-0"">Object</a></td>",False,https://ffcraftland.garena.com/vn/docs/api-1-196/
Type,"<td><a href=""/vn/docs/type-1027"">Type</a></td>",False,https://ffcraftland.garena.com/vn/docs/api-1-196/
Bool,"<td><a href=""/vn/docs/type-2"">Bool</a></td>",False,https://ffcraftland.garena.com/vn/docs/api-1-196/
API,"<a data-v-3385579a="""" href=""/vn/docs/api/"" class=""breadcrumb-link"">API</a>",False,https://ffcraftland.garena.com/vn/docs/api-1-197/
Object,"<td><a href=""/vn/docs/type-0"">Object</a></td>",False,https://ffcraftland.garena.com/vn/docs/api-1-197/
Type,"<td><a href=""/vn/docs/type-1027"">Type</a></td>",False,https://ffcraftland.garena.com/vn/docs/api-1-197/
Bool,"<td><a href=""/vn/docs/type-2"">Bool</a></td>",False,https://ffcraftland.garena.com/vn/docs/api-1-197/
API,"<a data-v-3385579a="""" href=""/vn/docs/api/"" class=""breadcrumb-link"">API</a>",False,https://ffcraftland.garena.com/vn/docs/api-1-209/
R,<td>R</td>,False,https://ffcraftland.garena.com/vn/docs/api-1-209/
Int,"<td><a href=""/vn/docs/type-3"">Int</a></td>",False,https://ffcraftland.garena.com/vn/docs/api-1-209/
G,<td>G</td>,False,https://ffcraftland.garena.com/vn/docs/api-1-209/
Int,"<td><a href=""/vn/docs/type-3"">Int</a></td>",False,https://ffcraftland.garena.com/vn/docs/api-1-209/
B,<td>B</td>,False,https://ffcraftland.garena.com/vn/docs/api-1-209/
Int,"<td><a href=""/vn/docs/type-3"">Int</a></td>",False,https://ffcraftland.garena.com/vn/docs/api-1-209/
Color,"<td><a href=""/vn/docs/type-87"">Color</a></td>",False,https://ffcraftland.garena.com/vn/docs/api-1-209/
API,"<a data-v-3385579a="""" href=""/vn/docs/api/"" class=""breadcrumb-link"">API</a>",False,https://ffcraftland.garena.com/vn/docs/api-1-221/
entity,"<td><a href=""/vn/docs/type-240"">entity</a></td>",False,https://ffcraftland.garena.com/vn/docs/api-1-221/
Entity,"<td><a href=""/vn/docs/type-10"">Entity</a></td>",False,https://ffcraftland.garena.com/vn/docs/api-1-221/
API,"<a data-v-3385579a="""" href=""/vn/docs/api/"" class=""breadcrumb-link"">API</a>",False,https://ffcraftland.garena.com/vn/docs/api-1-10007/
Global,"<td><a href=""/vn/docs/type-11"">Global</a></td>",False,https://ffcraftland.garena.com/vn/docs/api-1-10007/
API,"<a data-v-3385579a="""" href=""/vn/docs/api/"" class=""breadcrumb-link"">API</a>",False,https://ffcraftland.garena.com/vn/docs/api-1-313/
TypeOrListType,"<td><a href=""/vn/docs/type-163"">TypeOrListType</a></td>",False,https://ffcraftland.garena.com/vn/docs/api-1-313/
TypeOrListType,"<td><a href=""/vn/docs/type-163"">TypeOrListType</a></td>",False,https://ffcraftland.garena.com/vn/docs/api-1-313/
TypeOrListType,"<td><a href=""/vn/docs/type-163"">TypeOrListType</a></td>",False,https://ffcraftland.garena.com/vn/docs/api-1-313/
ListT_Entity,"<td><a href=""/vn/docs/type-50"">ListT_Entity</a></td>",False,https://ffcraftland.garena.com/vn/docs/api-1-313/
API,"<a data-v-3385579a="""" href=""/vn/docs/api/"" class=""breadcrumb-link"">API</a>",False,https://ffcraftland.garena.com/vn/docs/api-1-349/
entity,"<td><a href=""/vn/docs/type-240"">entity</a></td>",False,https://ffcraftland.garena.com/vn/docs/api-1-349/
